province,points,price,lat,lon,province average points,province average price,province average utility,price dollars
Obidos,88.86,22.428571428571427,39.3604212,-9.158201399999998,88.85714285714288,22.428571428571423,3.96,$22.43
Ohio,84.08,13.75,40.4172871,-82.907123,84.08333333333334,13.75,6.12,$13.75
Olifants River,88.50,55.0,-24.3688001,30.6473144,88.5,55.0,1.61,$55.00
Ontario,88.79,41.252631578947366,51.253775000000054,-85.323214,88.78947368421062,41.25263157894734,2.15,$41.25
Oregon,89.05,36.5450643776824,43.80413340000083,-120.55420120001128,89.05374136967151,36.54506437768517,2.44,$36.55
Other,86.00,21.20377358490566,36.06310309999993,-95.95882710000075,86.00377358490566,21.203773584905722,4.06,$21.20
Overberg,87.71,25.857142857142858,-34.4897034,20.402376,87.7142857142857,25.857142857142858,3.39,$25.86
Paarl,88.28,32.053333333333335,-33.73423039999994,18.962109099999985,88.27999999999996,32.0533333333333,2.75,$32.05
Pafos,87.00,14.666666666666666,34.7720133,32.4297369,87.0,14.666666666666666,5.93,$14.67
Palmela,87.58,15.0,38.56944099999999,-8.9016937,87.57894736842105,15.0,5.84,$15.00
Panciu,88.50,20.0,45.9081087,27.0905428,88.5,20.0,4.42,$20.00
Pangeon,87.41,34.588235294117645,40.91666669999999,24.083333299999996,87.41176470588236,34.58823529411764,2.53,$34.59
Patras,87.33,11.333333333333334,38.2466395,21.734574,87.33333333333333,11.333333333333334,7.71,$11.33
Peljesac,87.46,32.61538461538461,42.8652771,17.550515200000003,87.46153846153848,32.61538461538463,2.68,$32.62
Peloponnese,87.11,16.714285714285715,37.5079472,22.373489999999972,87.10714285714282,16.714285714285698,5.21,$16.71
Pennsylvania,84.56,23.333333333333332,41.203321599999995,-77.19452470000003,84.55555555555559,23.33333333333333,3.62,$23.33
Pení_nsula de Setí_bal,87.29,18.495934959349594,38.52540469999993,-8.894099999999986,87.29268292682913,18.495934959349594,4.72,$18.50
Peumo,89.33,38.5,-34.39633920000003,-71.1700793,89.33333333333337,38.5,2.32,$38.50
Pfalz,89.07,30.795580110497237,49.482211599999786,7.8609481000000105,89.06629834254126,30.795580110497216,2.89,$30.80
Philadelphia,89.75,31.75,39.9525839,-75.1652215,89.75,31.75,2.83,$31.75
Piedmont,89.58,54.957267724182586,37.623639500001204,-96.36556040000379,89.58497895759669,54.95726772418144,1.63,$54.96
Pinto Bandeira,87.17,32.0,-29.0974897,-51.4503228,87.16666666666667,32.0,2.72,$32.00
Pirque,90.17,41.5,-33.6793441,-70.58310689999998,90.16666666666667,41.5,2.17,$41.50
Polkadraai Hills,85.00,11.333333333333334,-33.9608446,18.800415,85.0,11.333333333333334,7.50,$11.33
Port,90.31,68.75406032482599,36.230607999999876,-95.74023239999966,90.31322505800448,68.75406032482636,1.31,$68.75
Portugal,88.00,31.75,39.39987199999999,-8.224454,88.0,31.75,2.77,$31.75
Portuguese Table Wine,87.30,15.6,35.51553969999999,-82.52774320000002,87.29999999999997,15.6,5.60,$15.60
Primorska,87.89,11.444444444444445,45.90051449999999,13.8743767,87.8888888888889,11.444444444444445,7.68,$11.44
Progreso,86.82,24.272727272727273,21.281190799999997,-89.66516279999998,86.8181818181818,24.272727272727277,3.58,$24.27
Provence,88.26,22.654082528533802,44.014493599999724,6.211643800000073,88.26075504828906,22.654082528533767,3.90,$22.65
Puente Alto,91.86,84.5,-33.61860819999999,-70.59060569999998,91.85714285714288,84.5,1.09,$84.50
